phylo,id,sex,condition,dot,stripe,full,subset,p_dot,termite
Uraeginthus_bengalus,CBR0005,M,deprived,67,71,1,1,0,1
Uraeginthus_bengalus,CBR0007,M,deprived,165,106,1,1,0,1
Uraeginthus_bengalus,CBR0009,M,deprived,126,66,1,1,0,1
Uraeginthus_bengalus,CBR0014,M,deprived,75,72,1,1,0,1
Uraeginthus_bengalus,CBR0031,M,deprived,142,85,1,1,0,1
Uraeginthus_bengalus,CBR0032,M,deprived,126,297,1,1,0,1
Uraeginthus_bengalus,CBR0044,M,deprived,295,135,1,1,0,1
Uraeginthus_bengalus,CBR0010,F,deprived,317,314,1,1,0,1
Uraeginthus_bengalus,CBR0011,F,deprived,256,154,1,1,0,1
Uraeginthus_bengalus,CBR0020,F,deprived,260,91,1,1,0,1
Uraeginthus_bengalus,CBR0024,F,deprived,335,199,1,1,0,1
Uraeginthus_bengalus,CBR0025,F,deprived,310,260,1,1,0,1
Chloebia_gouldiae,GF001,M,deprived,183,111,1,1,0,0
Chloebia_gouldiae,GF003,M,deprived,175,375,1,1,0,0
Chloebia_gouldiae,GF005,M,deprived,456,45,1,1,0,0
Chloebia_gouldiae,GF006,F,deprived,90,61,1,1,0,0
Chloebia_gouldiae,GF008,F,deprived,225,250,1,1,0,0
Chloebia_gouldiae,GF009,F,deprived,261,157,1,1,0,0
Chloebia_gouldiae,GF010,F,deprived,210,105,1,1,0,0
Padda_oryzivora,JS194,M,deprived,20,28,1,1,0,0
Padda_oryzivora,JS248,M,deprived,147,15,1,1,0,0
Padda_oryzivora,JS275,M,deprived,6,39,1,1,0,0
Padda_oryzivora,JS279,M,deprived,118,12,1,1,0,0
Padda_oryzivora,JS282,M,deprived,142,23,1,1,0,0
Padda_oryzivora,JS301,M,deprived,127,56,1,1,0,0
Padda_oryzivora,JS302,M,deprived,33,147,1,1,0,0
Padda_oryzivora,JS256,F,deprived,78,14,1,1,0,0
Padda_oryzivora,JS268,F,deprived,274,45,1,1,0,0
Padda_oryzivora,JS284,F,deprived,105,43,1,1,0,0
Padda_oryzivora,JS292,F,deprived,30,25,1,1,0,0
Padda_oryzivora,JS298,F,deprived,168,65,1,1,0,0
Padda_oryzivora,JS315,F,deprived,14,12,1,1,0,0
Padda_oryzivora,JS319,F,deprived,147,116,1,1,0,0
Padda_oryzivora,JS322,F,deprived,81,50,1,1,0,0
Padda_oryzivora,JS400,F,deprived,79,8,1,1,0,0
Padda_oryzivora,JS401,F,deprived,131,41,1,1,0,0
Neochmia_ruficauda,SF0001,M,deprived,410,107,1,1,1,1
Neochmia_ruficauda,SF0002,M,deprived,118,94,1,1,1,1
Neochmia_ruficauda,SF0003,M,deprived,80,139,1,1,1,1
Neochmia_ruficauda,SF0006,M,deprived,210,190,1,1,1,1
Neochmia_ruficauda,SF0009,M,deprived,260,157,1,1,1,1
Neochmia_ruficauda,SF0011,M,deprived,62,163,1,1,1,1
Neochmia_ruficauda,SF0014,M,deprived,486,689,1,1,1,1
Neochmia_ruficauda,SF0015,M,deprived,56,38,1,1,1,1
Neochmia_ruficauda,SF0016,M,deprived,71,20,1,1,1,1
Neochmia_ruficauda,SF0018,M,deprived,364,106,1,1,1,1
Neochmia_ruficauda,SF0020,M,deprived,182,185,1,1,1,1
Neochmia_ruficauda,SF0025,M,deprived,234,135,1,1,1,1
Neochmia_ruficauda,SF0026,M,deprived,213,59,1,1,1,1
Neochmia_ruficauda,SF0029,M,deprived,235,140,1,1,1,1
Neochmia_ruficauda,SF0032,M,deprived,352,248,1,1,1,1
Neochmia_ruficauda,SF0004,F,deprived,242,99,1,1,1,1
Neochmia_ruficauda,SF0010,F,deprived,46,40,1,1,1,1
Neochmia_ruficauda,SF0012,F,deprived,173,39,1,1,1,1
