"Site","Pool","Access_point","Transect","Plot_number","plot_ID","SimpleSpecies","Relation_to_spring","cover","region","if_kill","cover_for_beta","zer_beta"
"Anvil Spring","Anvil Spring","river_left","Central",1,"Anvil Spring_Anvil Spring_river_left_Central_1_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Central",2,"Anvil Spring_Anvil Spring_river_left_Central_2_Middle","trampled BG","Middle",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Central",3,"Anvil Spring_Anvil Spring_river_left_Central_3_Distal","trampled BG","Distal",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Downstream",1,"Anvil Spring_Anvil Spring_river_left_Downstream_1_Distal","trampled BG","Distal",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Downstream",2,"Anvil Spring_Anvil Spring_river_left_Downstream_2_Middle","trampled BG","Middle",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Upstream",1,"Anvil Spring_Anvil Spring_river_left_Upstream_1_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Upstream",2,"Anvil Spring_Anvil Spring_river_left_Upstream_2_Middle","trampled BG","Middle",1,"Southern Panamints","burro kills absent",0.99,0.99
"Anvil Spring","Anvil Spring","river_left","Upstream",3,"Anvil Spring_Anvil Spring_river_left_Upstream_3_Distal","trampled BG","Distal",1,"Southern Panamints","burro kills absent",0.99,0.99
"Arrastre Spring","Arrastre Spring","downstream","Central",1,"Arrastre Spring_Arrastre Spring_downstream_Central_1_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills present",0.99,0.99
"Arrastre Spring","Arrastre Spring","downstream","Central",1,"Arrastre Spring_Arrastre Spring_downstream_Central_1_Middle","trampled BG","Middle",0.6,"Southern Panamints","burro kills present",0.6,0.6
"Arrastre Spring","Arrastre Spring","downstream","Central",2,"Arrastre Spring_Arrastre Spring_downstream_Central_2_Distal","trampled BG","Distal",0.2,"Southern Panamints","burro kills present",0.2,0.2
"Arrastre Spring","Arrastre Spring","downstream","Downstream",1,"Arrastre Spring_Arrastre Spring_downstream_Downstream_1_Distal","trampled BG","Distal",0.8,"Southern Panamints","burro kills present",0.8,0.8
"Arrastre Spring","Arrastre Spring","downstream","Downstream",2,"Arrastre Spring_Arrastre Spring_downstream_Downstream_2_Middle","trampled BG","Middle",0.05,"Southern Panamints","burro kills present",0.05,0.05
"Arrastre Spring","Arrastre Spring","downstream","Downstream",3,"Arrastre Spring_Arrastre Spring_downstream_Downstream_3_Distal","trampled BG","Distal",0.75,"Southern Panamints","burro kills present",0.75,0.75
"Arrastre Spring","Arrastre Spring","downstream","Upstream",3,"Arrastre Spring_Arrastre Spring_downstream_Upstream_3_Distal","trampled BG","Distal",0.9,"Southern Panamints","burro kills present",0.9,0.9
"Five Mile Spring","Five Mile Spring","river_right","Central",1,"Five Mile Spring_Five Mile Spring_river_right_Central_1_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills present",0.99,0.99
"Five Mile Spring","Five Mile Spring","river_right","Central",2,"Five Mile Spring_Five Mile Spring_river_right_Central_2_Middle","trampled BG","Middle",1,"Southern Panamints","burro kills present",0.99,0.99
"Five Mile Spring","Five Mile Spring","river_right","Central",3,"Five Mile Spring_Five Mile Spring_river_right_Central_3_Distal","trampled BG","Distal",0.9,"Southern Panamints","burro kills present",0.9,0.9
"Five Mile Spring","Five Mile Spring","river_right","Downstream",2,"Five Mile Spring_Five Mile Spring_river_right_Downstream_2_Middle","trampled BG","Middle",0.5,"Southern Panamints","burro kills present",0.5,0.5
"Five Mile Spring","Five Mile Spring","river_right","Downstream",3,"Five Mile Spring_Five Mile Spring_river_right_Downstream_3_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills present",0.99,0.99
"Five Mile Spring","Five Mile Spring","river_right","Upstream",2,"Five Mile Spring_Five Mile Spring_river_right_Upstream_2_Middle","trampled BG","Middle",0.5,"Southern Panamints","burro kills present",0.5,0.5
"Five Mile Spring","Five Mile Spring","river_right","Upstream",3,"Five Mile Spring_Five Mile Spring_river_right_Upstream_3_Distal","trampled BG","Distal",0.2,"Southern Panamints","burro kills present",0.2,0.2
"Greater View Spring","Greater View Spring","river_right","Central",1,"Greater View Spring_Greater View Spring_river_right_Central_1_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills absent",0.99,0.99
"Greater View Spring","Greater View Spring","river_right","Central",2,"Greater View Spring_Greater View Spring_river_right_Central_2_Middle","trampled BG","Middle",1,"Southern Panamints","burro kills absent",0.99,0.99
"Greater View Spring","Greater View Spring","river_right","Central",3,"Greater View Spring_Greater View Spring_river_right_Central_3_Distal","trampled BG","Distal",1,"Southern Panamints","burro kills absent",0.99,0.99
"Greater View Spring","Greater View Spring","river_right","Downstream",1,"Greater View Spring_Greater View Spring_river_right_Downstream_1_Proximate","trampled BG","Proximate",1,"Southern Panamints","burro kills absent",0.99,0.99
"Greater View Spring","Greater View Spring","river_right","Downstream",2,"Greater View Spring_Greater View Spring_river_right_Downstream_2_Middle","trampled BG","Middle",1,"Southern Panamints","burro kills absent",0.99,0.99
"Greater View Spring","Greater View Spring","river_right","Downstream",3,"Greater View Spring_Greater View Spring_river_right_Downstream_3_Distal","trampled BG","Distal",1,"Southern Panamints","burro kills absent",0.99,0.99
