WORKYEAR,NEST,HATCHING_DATE,RING,TIME,ST_DATE,RANK,REDUCTION,SMI
1995,95-602,16/05/1995,f158,29,158,1,1,1516.584502
1995,95-606,20/05/1995,f172,17,159,1,1,1363.770583
1995,95-543,17/05/1995,f174,47,156,1,1,1128.637724
1995,95-561,16/05/1995,f156,23,155,1,1,1424.992539
1998,98-434,,h544,25,69,1,1,1633.900913
1998,98-326,,h597,17,75,1,1,1623.410915
1998,98-360,,h570,15,69,1,1,1215.09306
1998,98-265,,h589,13,74,1,1,1515.70908
1998,98-280,,h538,19,68,1,1,1251.947179
1998,98-029,03/03/1998,h619,14,79,1,1,1382.019614
1998,98-105,06/03/1998,h623,14,82,1,1,1537.332727
1998,98-543,,h563,15,70,1,1,1453.927053
1998,98-331,,h599,32,76,1,1,1446.488761
1998,98-325,,h519,21,69,1,1,1756.908963
1998,98-253,09/03/1998,h682,23,85,1,1,1463.198194
1998,98-036,,h572,11,75,1,1,1755.031566
1998,98-415,,h545,26,69,1,1,1550.250811
1998,98-476,07/03/1998,h665,11,83,1,1,1431.696344
1998,98-477,,h606,22,74,1,1,1344.058614
1998,98-539,,h670,22,78,1,1,1398.278668
1998,98-541,07/03/1998,h671,26,83,1,1,1398.278668
1998,98-249,24/03/1998,h726,17,100,1,1,1342.482329
1998,98-309,,h537,22,70,1,1,1652.717408
1998,98-203,,h523,15,68,1,1,1613.477152
1998,98-303,03/03/1998,h604,14,79,1,1,1460.210876
1998,98-345,,h551,11,71,1,1,1756.754428
1998,98-154,03/03/1998,h629,11,79,1,1,1475.821999
1998,98-165,,h516,23,67,1,1,1402.055834
1998,98-092,,h510,22,68,1,1,1577.555614
1998,98-097,,h577,8,74,1,1,1432.89603
1998,98-098,,h509,32,67,1,1,1641.081343
1998,98-100,,h477,16,63,1,1,1513.622567
1998,98-167,,h517,20,69,1,1,1594.809641
1998,98-368,05/03/1998,h673,20,81,1,1,1560.869211
1998,98-169,,h442,30,52,1,1,1746.615913
1998,98-123,,h497,24,63,1,1,1736.187681
1998,98-120,,h447,32,57,1,1,1737.17137
1998,98-115,,h583,13,73,1,1,1560.869211
1998,98-403,10/03/1998,h685,14,86,1,1,1576.178652
1998,98-197,,h522,19,69,1,1,1134.787456
1999,99-1084,,i829,24,70,1,1,1850.515484
1999,99-056,04/04/1999,j060,48,111,1,1,1653.600865
1999,99-1093,12/03/1999,i929,10,88,1,1,1575.74791
1999,99-626,,i249,27,67,1,1,1537.207949
1999,99-748,,i303,69,58,1,1,1509.631052
1999,99-1025,,i460,35,54,1,1,1616.214073
1999,99-276,,h853,70,49,1,1,1851.032022
1999,99-384,,i380,45,60,1,1,1520.024949
1999,99-298,,i032,26,60,1,1,1695.090979
1999,99-660,,i432,65,51,1,1,1719.950222
1999,99-1114,,i198,30,64,1,1,1512.214771
1999,99-647,,i388,57,61,1,1,1673.854283
1999,99-312,21/02/1999,i931,11,69,1,1,1163.292502
1999,99-946,,i767,37,75,1,1,1429.328912
1999,99-920,,i448,14,54,1,1,1724.998183
1999,99-357,,i132,31,64,1,1,1816.34708
1999,99-1116,,i112,28,64,1,1,1387.886613
1999,99-501,,i311,20,57,1,1,1348.130609
1999,99-588,,h921,25,49,1,1,1766.204864
1999,99-485,,i346,63,60,1,1,1511.499687
1999,99-816,,i549,32,54,1,1,1621.336698
1999,99-1189,06/04/1999,j048,44,113,1,1,1461.091776
1999,99-235,,i348,12,61,1,1,1480.722703
1999,99-736,05/04/1999,j051,36,112,1,1,1531.782106
1999,99-340,,i573,42,56,1,1,1586.14677
1999,99-1107,08/04/1999,j055,9,115,1,1,1477.905773
1999,99-283,,i035,20,57,1,1,1554.220737
1999,99-1015,,i643,49,57,1,1,1707.02324
1999,99-832,06/03/1999,i880,13,82,1,1,1652.285114
1999,99-217,,i177,11,64,1,1,1725.939065
1999,99-960,,i787,52,76,1,1,1463.168481
1999,99-710,05/04/1999,j053,57,112,1,1,1482.72986
1999,99-405,23/02/1999,i720,17,71,1,1,1681.602003
2000,00-630,,j232,27,49,1,1,1225.425685
2000,00-205,,j252,36,51,1,1,1176.668891
2000,00-448,,j580,16,66,1,1,1267.086453
2000,00-575,,j369,23,56,1,1,1274.049361
2000,00-058,,j177,42,42,1,1,1508.910789
2000,00-889,,j569,19,64,1,1,1344.627939
